drug1,cell.line,drug1.conc,well,upid,time,cell.count,drug1.units
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,5.7,49.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,9.0,59.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,21.1,93.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,24.4,100.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,27.8,115.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,31.1,131.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,48.5,202.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,51.8,228.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,55.1,238.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,58.4,264.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,61.6,300.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,73.7,352.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,77.0,401.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,83.6,475.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,95.2,484.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,98.4,518.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,101.7,593.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,105.0,674.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,108.3,738.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,111.6,783.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,114.9,813.0,M
afatinib,BR1,1.86875e-11,D22,HTS001_BR1-2,118.1,838.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,5.7,36.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,9.0,37.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,21.1,48.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,24.4,52.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,27.8,59.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,31.1,74.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,48.5,128.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,51.8,145.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,55.1,156.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,58.4,162.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,61.6,170.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,73.7,234.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,77.0,245.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,83.6,291.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,95.2,300.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,98.4,331.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,101.7,372.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,105.0,411.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,108.3,445.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,111.6,475.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,114.9,501.0,M
afatinib,BR1,1.86875e-11,K22,HTS001_BR1-2,118.1,510.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,5.7,58.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,9.0,60.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,21.1,98.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,24.4,109.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,27.8,114.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,31.1,126.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,48.5,216.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,51.8,248.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,55.1,271.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,58.4,285.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,61.6,299.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,73.7,424.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,77.0,447.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,83.6,536.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,95.2,569.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,98.4,590.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,101.7,659.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,105.0,713.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,108.3,762.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,111.6,795.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,114.9,870.0,M
afatinib,BR1,7.47625e-11,D21,HTS001_BR1-2,118.1,909.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,5.7,44.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,9.0,51.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,21.1,74.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,24.4,74.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,27.8,81.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,31.1,89.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,48.5,152.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,51.8,166.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,55.1,193.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,58.4,219.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,61.6,225.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,73.7,273.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,77.0,323.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,83.6,376.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,95.2,399.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,98.4,420.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,101.7,484.0,M
afatinib,BR1,7.47625e-11,K21,HTS001_BR1-2,105.0,535.0,M
