plate	well	cell.line	drug1	drug1.conc	dip_rate	dip_fit_std_err
HTS001_BR1-2	B2	BR1			0.0330013405367778	0.00119243784304535
HTS001_BR1-2	B3	BR1	erlotinib	3.96875e-06	0.0244791718503979	0.000852747136056868
HTS001_BR1-2	B4	BR1	erlotinib	9.92125e-07	0.028889710864622	0.00100703220251378
HTS001_BR1-2	B5	BR1	erlotinib	2.48e-07	0.0294358317388577	0.00109121927603589
HTS001_BR1-2	B6	BR1	erlotinib	6.20125e-08	0.0240721950053747	0.000832395037216902
HTS001_BR1-2	B7	BR1	erlotinib	1.55e-08	0.0253558533071936	0.000716205461609522
HTS001_BR1-2	B8	BR1	erlotinib	3.72e-09	0.0256502419629085	0.000717824392652411
HTS001_BR1-2	B9	BR1	erlotinib	1.246e-09	0.0236607105888706	0.00104595951318883
HTS001_BR1-2	B10	BR1	erlotinib	3.0525e-10	0.0283970082615563	0.000900745143715852
HTS001_BR1-2	B11	BR1	erlotinib	7.47625e-11	0.0339087484166224	0.000887559302563297
HTS001_BR1-2	B12	BR1	erlotinib	1.86875e-11	0.0263174410732385	0.00101513830030499
HTS001_BR1-2	B13	BR1	gefitinib	3.96875e-06	0.0239390196500601	0.00105307031887208
HTS001_BR1-2	B14	BR1	gefitinib	9.92125e-07	0.0253317211249722	0.000893561570859621
HTS001_BR1-2	B15	BR1	gefitinib	2.48e-07	0.0262893300814189	0.000950126969936077
HTS001_BR1-2	B16	BR1	gefitinib	6.20125e-08	0.0271839897493315	0.000977186440212904
HTS001_BR1-2	B17	BR1	gefitinib	1.55e-08	0.0196995314773547	0.000803641903812117
HTS001_BR1-2	B18	BR1	gefitinib	3.72e-09	0.0238675305083797	0.000871121440933885
HTS001_BR1-2	B19	BR1	gefitinib	1.246e-09	0.0285223649339425	0.000879903007822575
HTS001_BR1-2	B20	BR1	gefitinib	3.0525e-10	0.0263628300751666	0.000779208123089504
HTS001_BR1-2	B21	BR1	gefitinib	7.47625e-11	0.026537690340754	0.000818624017578844
HTS001_BR1-2	B22	BR1	gefitinib	1.86875e-11	0.0224554697718649	0.000989580577486514
HTS001_BR1-2	B23	BR1			0.0300422587066013	0.00109456612112263
HTS001_BR1-2	C2	BR1			0.032687118962928	0.000875133704758477
HTS001_BR1-2	C3	BR1	osimertinib	3.96875e-06	-0.013535686626073	0.00872521985836072
HTS001_BR1-2	C4	BR1	osimertinib	9.92125e-07	0.0139191851000365	0.000663717900289149
HTS001_BR1-2	C5	BR1	osimertinib	2.48e-07	0.0190895707450078	0.000553237179251024
HTS001_BR1-2	C6	BR1	osimertinib	6.20125e-08	0.0163991088615475	0.00100942886926201
HTS001_BR1-2	C7	BR1	osimertinib	1.55e-08	0.0105991197212799	0.00112044583349811
HTS001_BR1-2	C8	BR1	osimertinib	3.72e-09	0.0188925291068688	0.000936412096842467
HTS001_BR1-2	C9	BR1	osimertinib	1.246e-09	0.0310012191442424	0.000871762253270118
HTS001_BR1-2	C10	BR1	osimertinib	3.0525e-10	0.0273003462826641	0.000925270815081235
HTS001_BR1-2	C11	BR1	osimertinib	7.47625e-11	0.0293718244688667	0.000870315007619394
HTS001_BR1-2	C12	BR1	osimertinib	1.86875e-11	0.0289780219132719	0.000964457740319314
HTS001_BR1-2	C13	BR1	rociletinib	3.96875e-06	-0.00326053030225715	0.000265656648538392
HTS001_BR1-2	C14	BR1	rociletinib	9.92125e-07	0.0132516043779719	0.00114486884543752
HTS001_BR1-2	C15	BR1	rociletinib	2.48e-07	0.0116563953679522	0.000814296325403159
HTS001_BR1-2	C16	BR1	rociletinib	6.20125e-08	0.0154064252364608	0.00108665028657813
HTS001_BR1-2	C17	BR1	rociletinib	1.55e-08	0.0219798193507449	0.00131764519745675
HTS001_BR1-2	C18	BR1	rociletinib	3.72e-09	0.0275809174997338	0.000877251830254975
HTS001_BR1-2	C19	BR1	rociletinib	1.246e-09	0.0286786246525145	0.000841763284675847
HTS001_BR1-2	C20	BR1	rociletinib	3.0525e-10	0.0266118705606889	0.000952139527898146
HTS001_BR1-2	C21	BR1	rociletinib	7.47625e-11	0.0243212119296581	0.0010356213665648
HTS001_BR1-2	C22	BR1	rociletinib	1.86875e-11	0.0294212062222318	0.000927943771668476
HTS001_BR1-2	C23	BR1			0.0332254435263097	0.0006730028110256
HTS001_BR1-2	D2	BR1			0.0355728621356663	0.00122449053866849
HTS001_BR1-2	D3	BR1	lapatinib	3.96875e-06	0.0258695600185974	0.000949975137950639
HTS001_BR1-2	D4	BR1	lapatinib	9.92125e-07	0.0276798994029238	0.00106977209925942
HTS001_BR1-2	D5	BR1	lapatinib	2.48e-07	0.0252936007005755	0.000718894900032998
HTS001_BR1-2	D6	BR1	lapatinib	6.20125e-08	0.0267422290010459	0.00096757898019465
HTS001_BR1-2	D7	BR1	lapatinib	1.55e-08	0.0271304398762125	0.000884944387593094
HTS001_BR1-2	D8	BR1	lapatinib	3.72e-09	0.0269082254591255	0.00102579086262891
HTS001_BR1-2	D9	BR1	lapatinib	1.246e-09	0.027245634442073	0.000830942730271673
HTS001_BR1-2	D10	BR1	lapatinib	3.0525e-10	0.0301834869761015	0.000827030607364218
HTS001_BR1-2	D11	BR1	lapatinib	7.47625e-11	0.0291665758113108	0.000808831652388337
HTS001_BR1-2	D12	BR1	lapatinib	1.86875e-11	0.0283888718794063	0.000985827881831801
HTS001_BR1-2	D13	BR1	afatinib	3.96875e-06	-0.00546324282355198	0.000654063215701632
HTS001_BR1-2	D14	BR1	afatinib	9.92125e-07	0.012541592864987	0.00129075658300912
HTS001_BR1-2	D15	BR1	afatinib	2.48e-07	0.0148328005357024	0.00113386154578001
HTS001_BR1-2	D16	BR1	afatinib	6.20125e-08	0.028607432215552	0.00096153348800953
HTS001_BR1-2	D17	BR1	afatinib	1.55e-08	0.028998055296746	0.00076002828431887
HTS001_BR1-2	D18	BR1	afatinib	3.72e-09	0.0273705967230977	0.000904450955640374
HTS001_BR1-2	D19	BR1	afatinib	1.246e-09	0.0277101417671471	0.000825161341618259
HTS001_BR1-2	D20	BR1	afatinib	3.0525e-10	0.0298143056293559	0.0010666081622071
HTS001_BR1-2	D21	BR1	afatinib	7.47625e-11	0.0282301475742125	0.00088171218595651
HTS001_BR1-2	D22	BR1	afatinib	1.86875e-11	0.0295351771673001	0.000915363785543887
HTS001_BR1-2	D23	BR1			0.0317079327271036	0.0010958389479773
HTS001_BR1-2	E2	BR1			0.0274360202529071	0.00068887691546303
HTS001_BR1-2	E3	BR1	neratinib	3.96875e-06	0.0208241615788561	0.000687388678974347
HTS001_BR1-2	E4	BR1	neratinib	9.92125e-07	0.0293015090829531	0.000777583290920965
HTS001_BR1-2	E5	BR1	neratinib	2.48e-07	0.0290685824406714	0.00102341963047803
